DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:11:50 PM
0.00 mm;0.00 mm;2.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.544	-44.988
2	1.929	17.340
3	1.949	-49.217
4	2.587	-42.396
5	2.656	-41.538
6	2.802	-43.371
7	2.836	-42.192
8	2.941	-41.969
9	3.035	-40.933
10	3.234	-42.382
11	3.337	-42.987
12	3.441	-41.209
13	3.517	-42.531
14	3.542	-42.124
15	3.582	-42.451
16	3.796	-41.826
17	4.107	-42.742
18	4.563	-42.631
19	4.778	-42.075
20	5.442	-43.095
21	6.073	-41.086
22	6.127	-41.624
23	6.195	-42.641
24	6.264	-41.783
25	6.281	-41.844
26	6.293	-42.474
27	6.315	-41.437
28	6.323	-41.689
29	6.376	-40.695
30	6.381	-41.668
31	6.427	-42.858
32	6.448	-40.618
33	6.467	-42.179
34	6.517	-41.713
35	6.605	-41.957
36	6.856	-42.807
37	6.935	-42.431
38	7.023	-42.411
39	7.239	-41.805
40	7.468	-42.592
41	7.657	-41.476
42	7.727	-41.393
43	7.813	-42.455
44	7.848	-41.889
45	7.869	-41.991
46	8.200	-42.224
47	8.236	-41.190
48	8.347	-41.879
49	8.543	-44.303
50	8.622	-42.413
51	8.695	-41.470
52	8.812	-42.668
53	8.883	-42.646
54	8.990	-41.623
55	9.004	-42.523
56	9.078	-41.681
57	9.178	-39.815
58	9.289	-42.505
59	9.311	-42.204
60	9.618	-42.948
61	9.776	-42.746
62	9.834	-42.447
63	9.836	-42.664
64	9.940	-41.113
65	10.073	-41.411
66	10.081	-41.619
67	10.098	-41.879
68	10.110	-41.934
69	10.174	-41.910
70	10.275	-41.826
71	10.306	-42.433
72	10.324	-41.718
73	10.429	-41.703
74	10.518	-42.224
75	10.635	-42.182
76	10.703	-42.079
77	10.739	-41.881
78	10.761	-42.535
79	10.807	-45.979
80	10.977	-42.073
81	11.091	-41.983
82	11.191	-42.893
83	11.260	-42.088
84	11.318	-41.366
85	11.366	-42.576
86	11.455	36.636
87	11.475	-42.973
88	11.488	-40.943
89	11.572	-41.732
90	11.583	-42.365
91	11.612	-42.936
92	11.652	-42.069
93	11.663	-42.639
94	11.853	-42.378
95	11.883	-30.751
96	11.891	-42.227
97	12.072	-42.654
98	12.188	-42.421
99	12.226	-42.139
100	12.377	-41.709
101	12.384	-41.891
102	12.500	-41.458
103	12.601	-41.828
104	12.689	-41.066
105	12.735	-41.679
106	12.772	-39.610
107	12.808	-41.824
108	12.840	-42.047
109	12.871	-41.333
110	12.951	-41.127
111	13.080	-42.229
112	13.214	-42.179
113	13.523	-41.756
114	13.577	-42.290
115	13.591	-41.840
116	13.609	-42.343
117	13.645	-41.946
118	13.812	-42.500
119	13.826	-41.636
120	13.860	-42.063
121	13.868	-42.243
122	13.901	-42.768
123	13.927	-41.883
124	14.129	-42.036
125	14.310	-41.726
126	14.358	-42.365
127	14.385	-42.613
128	14.402	-42.267
129	14.534	-44.215
130	14.751	-42.098
131	14.784	-43.067
132	14.858	-42.227
133	14.880	-42.308
134	14.911	-41.182
135	14.998	-40.908
136	15.056	-43.414
137	15.108	-42.294
138	15.113	-41.544
139	15.196	-41.959
140	15.300	-40.606
141	15.306	-41.564
142	15.360	-42.055
143	15.407	-42.210
144	15.448	-41.981
145	15.461	-40.689
146	15.627	-41.848
147	15.634	-44.773
148	15.652	-42.184
149	15.663	-42.711
150	15.701	-42.417
151	15.712	-41.875
152	15.880	-41.223
153	15.916	-42.028
154	15.974	-42.284
155	15.995	-42.815
156	16.015	-43.083
157	16.063	-30.058
158	16.117	-43.386
159	16.123	-42.850
160	16.394	-43.819
161	16.456	-42.365
162	16.501	-41.552
163	16.776	-42.394
164	16.790	-43.383
165	16.798	-41.850
166	16.813	-42.245
167	16.839	-41.932
168	16.885	-41.299
169	16.930	-42.335
