DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:17:25 PM
0.00 mm;0.00 mm;-1.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.273	-60.209
2	1.685	-60.584
3	3.406	-59.375
4	4.028	-60.988
5	4.457	-59.821
6	4.731	-61.160
7	4.914	-59.954
8	5.272	-60.220
9	5.741	-60.389
10	5.879	-60.416
11	6.396	-61.524
12	6.662	-59.776
13	7.045	-60.641
14	7.094	-59.844
15	7.539	-60.520
16	8.362	-60.720
17	9.143	-7.055
18	9.613	-65.489
19	10.604	-78.142
20	11.667	-60.036
21	11.688	-63.643
22	11.703	-60.128
23	11.726	-60.310
24	11.765	-59.745
25	11.807	-60.917
26	11.896	-60.821
27	11.956	-60.398
28	11.958	-60.784
29	12.408	-61.467
30	12.509	-61.346
31	12.978	-60.825
32	13.703	-61.448
33	13.714	-59.165
34	13.872	-61.011
35	14.591	-60.913
36	14.971	-61.221
37	15.180	-61.344
38	15.217	-73.128
39	15.226	-60.418
40	15.773	-60.620
41	16.687	-59.929
42	16.935	-81.333
43	17.068	-61.164
44	17.123	-60.524
45	21.980	-60.344
46	25.545	-60.659
47	25.564	-64.598
48	25.890	-60.232
49	25.938	-61.556
50	25.955	-59.341
51	25.977	-59.435
52	25.983	-61.344
53	26.041	-60.737
54	26.046	-60.633
55	26.060	-60.197
56	26.366	-66.783
57	27.687	-76.382
58	27.706	-59.717
59	28.197	-61.121
60	29.606	-61.160
61	30.098	-61.323
62	30.278	-61.321
63	32.698	-93.888
64	33.104	-59.862
65	33.150	-61.041
66	33.173	-60.690
67	33.960	-60.751
68	34.094	-61.356
69	34.452	-59.854
70	34.464	-61.082
71	35.555	-35.362
72	35.602	-61.481
73	35.695	-93.933
74	35.721	-60.696
75	35.981	-61.569
76	37.874	-61.575
77	39.689	-61.792
78	39.983	-61.573
79	40.345	-61.289
80	42.043	-60.477
81	46.992	-60.998
82	47.535	-60.688
83	47.602	-60.618
84	47.759	-61.622
85	47.765	-61.315
86	48.014	-61.182
87	50.857	-57.227
88	51.234	-60.794
89	51.293	-61.078
90	51.300	-61.191
91	51.693	-61.550
92	51.951	-60.841
93	52.054	-59.469
94	52.209	-60.770
95	52.216	-60.524
96	52.543	-61.775
97	52.677	-61.293
98	52.728	-61.080
99	52.767	-61.185
100	52.832	-63.233
101	53.718	-61.023
102	53.829	-55.535
103	54.535	-61.324
104	54.896	-60.874
105	55.430	-59.739
106	55.564	-60.723
107	55.678	-82.784
108	56.070	-61.070
109	57.602	-61.080
110	57.742	-60.970
111	57.924	-61.301
112	58.166	-61.377
113	58.318	-61.340
114	58.953	-60.400
115	59.032	-62.125
116	59.585	-60.929
117	60.104	-61.170
118	61.476	-60.504
119	61.930	-60.463
120	62.019	-60.643
121	62.037	-60.312
122	62.152	-60.633
123	62.199	-60.001
124	62.311	-61.757
125	63.053	-59.962
126	63.150	-60.434
127	63.538	-60.761
128	64.225	-60.340
129	64.385	-60.549
130	64.801	-60.653
131	65.044	-60.637
132	65.070	-60.400
133	65.233	-60.281
134	65.257	-61.162
135	65.404	-61.164
136	66.083	-59.445
137	66.261	-60.700
138	66.266	-60.571
139	66.567	-59.987
140	67.067	-59.954
141	67.082	-60.974
142	67.153	-61.391
143	67.163	-59.978
144	67.189	-61.193
145	68.439	-60.610
146	68.887	-60.896
147	69.317	-60.414
148	70.185	-60.197
149	70.310	-59.770
150	72.091	-61.221
151	72.167	-62.707
152	72.314	-60.837
153	72.965	-61.475
154	73.164	-60.469
155	73.173	-60.526
156	75.834	-60.888
157	76.528	-60.839
158	77.489	-60.876
159	77.924	-60.283
160	77.940	-62.485
161	78.113	-60.947
162	79.256	-60.821
163	79.682	-61.005
164	79.782	-60.833
165	79.838	-61.213
166	79.993	-61.064
167	82.335	-61.571
168	82.357	-60.980
169	83.000	-60.999
170	83.389	-69.496
171	84.143	-61.561
172	84.909	-60.584
173	85.069	-60.581
174	85.126	-61.644
175	85.136	-60.747
176	85.852	-63.184
177	87.196	-60.851
178	88.556	-60.917
179	88.677	-61.520
180	89.035	-61.223
181	89.456	-61.473
182	89.592	-60.273
183	89.600	-60.665
184	90.340	-61.695
185	90.689	-60.649
186	90.721	-61.193
